ator_id	titulo_id	nome_personagem
nm1102577	tt3907584	Desconhecido
nm0799777	tt3909336	Sebastian
nm3081796	tt3967856	K
nm2215143	tt3975510	Eva
nm3154303	tt3975510	Zac
nm1869101	tt4019560	Isabel De La Cruz
nm0000206	tt4019560	Detective Galban
nm0000206	tt4019560	Desconhecido
nm0799777	tt4022252	General Tiger
nm0005342	tt4106306	Diego
nm0799777	tt4106376	Rear Admiral Levin
nm0604742	tt4106514	Jacob Kanon
nm0000206	tt4154916	William Foster
nm0000206	tt4154916	Desconhecido
nm1102577	tt4158624	Ray
nm4911194	tt4160920	Darcy
nm1684869	tt4189260	Batman
nm1684869	tt4189260	Bruce Wayne
nm1684869	tt4189260	Batzarro
nm1684869	tt4189294	Batman
nm1684869	tt4189294	Bruce Wayne
nm1684869	tt4230400	Superman
nm0005342	tt4279116	K.E.R.4
nm0799777	tt4283414	Jay Warren
nm1684869	tt4324274	Owl Lieutenant
nm0000206	tt4334266	The Dream
nm1684869	tt4341532	Ryan Stone
nm3081796	tt4348012	Derek Cho
nm5700898	tt4370596	Max
nm1102577	tt4385888	Julie Hamlin
nm0000206	tt4425200	John Wick
nm0604742	tt4427800	Cal McCarthy
nm4911194	tt4488724	Harley Diaz
nm0799777	tt4501454	Zipper
nm1684869	tt4528890	Velociraptor Handler
nm4911194	tt4549142	Princess Isabel
nm4911194	tt4549142	Additional Voices
nm0799777	tt4572514	Sergeant Jeffrey Pugliese
nm3081796	tt4587656	Bo
nm0799777	tt4612950	President Whitewall
nm3480246	tt4615318	Mia
nm2794962	tt4633694	Gwen Stacy
nm0799777	tt4643084	Howard Silk
nm1684869	tt4656392	Batman
